Close,Date
-245.8047,1997-03-18
-246.1641,1997-03-19
-246.25784,1997-03-20
-246.50783,1997-03-21
-246.9922,1997-03-24
-246.96878,1997-03-25
-246.47658,1997-03-26
-246.53908,1997-03-27
-246.79689,1997-03-31
-246.6016,1997-04-01
-246.75784,1997-04-02
-246.3672,1997-04-03
-246.4844,1997-04-04
-246.27345,1997-04-07
-245.97658,1997-04-08
-246.00783,1997-04-09
-246.1641,1997-04-10
-246.38283,1997-04-11
-246.08597,1997-04-14
-246.11722,1997-04-15
-245.97658,1997-04-16
-245.9922,1997-04-17
-244.8047,1997-04-18
-244.8047,1997-04-21
-244.42972,1997-04-22
-243.86722,1997-04-23
-243.99222,1997-04-24
-244.05472,1997-04-25
-243.89847,1997-04-28
-243.38284,1997-04-29
-243.07033,1997-04-30
-243.13283,1997-05-01
-243.16408,1997-05-02
-243.2344,1997-05-05
-243.59378,1997-05-06
-243.82033,1997-05-07
-243.71095,1997-05-08
-243.66408,1997-05-09
-243.49222,1997-05-12
-243.53908,1997-05-13
-243.77345,1997-05-14
-243.6172,1997-05-15
-243.82814,1997-05-16
-243.86722,1997-05-19
-243.36722,1997-05-20
-243.21095,1997-05-21
-243.1797,1997-05-22
-242.89847,1997-05-23
-242.42972,1997-05-27
-242.52345,1997-05-28
-242.52345,1997-05-29
-242.75783,1997-05-30
-242.71095,1997-06-02
-243.16408,1997-06-03
-243.35939,1997-06-04
-243.18753,1997-06-05
-242.75002,1997-06-06
-242.6172,1997-06-09
-242.65628,1997-06-10
-242.38284,1997-06-11
-242.38284,1997-06-12
-242.0547,1997-06-13
-241.83597,1997-06-16
-241.4844,1997-06-17
-241.9844,1997-06-18
-242.09378,1997-06-19
-242.02345,1997-06-20
-242.25002,1997-06-23
-241.75002,1997-06-24
-241.95316,1997-06-25
-242.2266,1997-06-26
-242.32034,1997-06-27
-242.46095,1997-06-30
-242.64066,1997-07-01
-242.21095,1997-07-02
-242.06253,1997-07-03
-242.07033,1997-07-07
-241.8516,1997-07-08
-241.91408,1997-07-09
-242.02345,1997-07-10
-242.03908,1997-07-11
-241.26564,1997-07-14
-240.94923,1997-07-15
-239.70314,1997-07-16
-239.57034,1997-07-17
-240.69534,1997-07-18
-241.26564,1997-07-21
-240.24222,1997-07-22
-240.57814,1997-07-23
-241.00783,1997-07-24
