Date,Open,High,Low,Close,Adj Close,Volume
3/5/2012,45.299999,45.477001,43.969002,44.243,41.274948,15116000
4/5/2012,43.700001,44.191002,43.383999,43.969002,41.019356,14684000
7/5/2012,43.465,44.282001,43.465,43.612,40.686283,10801000
8/5/2012,43.401001,43.615002,42.305,43.164001,40.268349,10400000
9/5/2012,42.582001,43.203999,42.099998,42.283001,39.446449,9996000
10/5/2012,42.580002,42.935001,41.827,42.298,39.46043,11555000
11/5/2012,42,42.762001,41.900002,42.240002,39.406342,7891000
14/5/2012,41.817001,42.099998,41.444,41.444,38.663738,12164000
15/5/2012,41.472,41.997002,41.337002,41.446999,38.666534,6769000
16/5/2012,41.888,42.049999,40.868,40.937,38.190739,12951000
17/5/2012,41.380001,41.380001,39.849998,39.858002,37.184124,12020000
18/5/2012,40.202,40.457001,39.456001,39.456001,36.80909,11113000
21/5/2012,39.599998,41.078999,39.419998,41.057999,38.303612,12811000
22/5/2012,41.021,41.830002,40.826,41.344002,38.570442,12319000
23/5/2012,41.115002,41.714001,40.657001,41.709,38.91095,8750000
24/5/2012,42.006001,42.876999,41.610001,41.983002,39.166573,10810000
25/5/2012,41.654999,42.195,41.212002,41.396,38.618946,6948000
29/5/2012,41.733002,41.974998,41.319,41.605,38.813919,4658000
30/5/2012,41.09,41.563,40.93,41.158001,38.396915,6743000
31/5/2012,41.23,41.299,39.901001,40.651001,37.923916,10662000
1/6/2012,39.861,39.924,38.990002,39.178001,36.549728,11237000
4/6/2012,39.169998,40.152,39.009998,40.026001,37.340858,9667000
5/6/2012,40.103001,40.979,40.023998,40.82,38.081604,9693000
6/6/2012,41.457001,41.998001,41.277,41.998001,39.180561,9733000
7/6/2012,42.451,42.507,41.397999,41.570999,38.782215,9438000
8/6/2012,41.244999,41.660999,41.091,41.654999,38.86058,7441000
11/6/2012,42.049999,42.125,41.351002,41.383999,38.607761,5905000
12/6/2012,41.400002,41.990002,41.094002,41.775002,38.972527,5788000
13/6/2012,41.507999,41.817001,40.799999,40.974998,38.226185,6123000
14/6/2012,40.964001,41.998001,40.953999,41.904999,39.093807,7452000
15/6/2012,42.275002,42.668999,41.994999,42.668999,39.806549,8093000
18/6/2012,42.493,42.799,42.23,42.562,39.706738,6307000
19/6/2012,42.898998,42.98,42.575001,42.757,39.888664,6877000
20/6/2012,42.783001,42.999001,42.112,42.881001,40.004326,4999000
21/6/2012,42.880001,43.27,42.104,42.117001,39.291588,5544000
22/6/2012,42.158001,43.507999,42.060001,43.507999,40.589264,8706000
25/6/2012,43.285,43.431,42.852001,42.852001,39.977268,7000000
26/6/2012,42.974998,43.431999,42.702999,43.222,40.322426,6198000
27/6/2012,43.318001,43.573002,43.115002,43.192001,40.29446,4446000
28/6/2012,42.929001,43.037998,41.675999,42.130001,39.303715,9629000
29/6/2012,42.745998,43.022999,42.563,43.011002,40.125614,9351000
2/7/2012,43.507,43.993,43.015999,43.990002,41.038918,6180000
3/7/2012,43.955002,44.34,43.68,44.176998,41.213387,4863000
5/7/2012,44.043999,44.5,43.842999,44.404999,41.454239,5972000
6/7/2012,44.103001,44.525002,43.944,44.162998,41.22831,8164000
9/7/2012,43.432999,43.498001,42.330002,43.126999,40.261177,11064000
10/7/2012,43.18,43.643002,42.012001,42.025002,39.23241,8211000
11/7/2012,41.895,42.030998,41.284,41.988998,39.198788,6284000
12/7/2012,41.605,42.658001,41.446999,42.424999,39.605808,7646000
13/7/2012,42.521999,43.025002,42.396,42.959999,40.105263,6082000
16/7/2012,43.977001,44.799999,43.574001,43.688999,40.785809,17479000
17/7/2012,43.832001,44,43.007,43.568001,40.672863,6192000
18/7/2012,43.335999,43.945,43.200001,43.681999,40.779293,5775000
19/7/2012,43.824001,43.898998,42.793999,42.793999,39.950275,8195000
20/7/2012,42.490002,42.687,42.143002,42.314999,39.503136,8963000
23/7/2012,41.626999,41.860001,41.127998,41.598,38.833767,9147000
24/7/2012,41.728001,41.778,40.470001,40.988998,38.265224,9457000
25/7/2012,41.299999,41.5,40.648998,41.233002,38.493034,6069000
26/7/2012,41.882,42.743999,41.762001,42.376999,39.56102,7061000
27/7/2012,42.381001,43.674999,42.321999,43.674999,40.772747,9644000
30/7/2012,43.619999,44.674999,43.619999,44.115002,41.183525,9897000
31/7/2012,44.301998,44.326,43.316002,43.657001,40.755932,11530000
1/8/2012,42.409,43.299,42,42.720001,39.881203,21723000
2/8/2012,42.577,42.908001,41.810001,42.342999,39.529259,11444000
3/8/2012,42.842999,42.900002,42.299999,42.412998,39.594601,10280000
6/8/2012,42.419998,42.756001,41.900002,41.985001,39.195072,7637000
7/8/2012,42.129002,42.285,41.318001,41.639999,38.872959,12179000
8/8/2012,41.597,42.700001,41.516998,42.445,39.624481,10101000
9/8/2012,42.404999,42.785999,42.063999,42.594002,39.763584,7074000
10/8/2012,42.335999,42.785999,42.334999,42.603001,39.771973,4565000
13/8/2012,42.457001,42.675999,42.212002,42.563,39.73465,4039000
14/8/2012,42.705002,43.314999,42.633999,42.807999,39.963371,5696000
15/8/2012,42.807999,43.110001,42.619999,42.709,39.870934,4050000
16/8/2012,42.723999,43.09,42.603001,42.852001,40.004433,4134000
17/8/2012,42.794998,42.945999,42.515999,42.681,39.844814,5416000
20/8/2012,42.709999,42.860001,42.368999,42.720001,39.881203,4384000
21/8/2012,42.702999,42.980999,42.244999,42.331001,39.518078,4232000
22/8/2012,42.110001,42.571999,41.882999,42.119999,39.321087,6931000
23/8/2012,42.092999,42.279999,41.667,41.833,39.053154,5744000
24/8/2012,41.860001,42.347,41.766998,42.244999,39.437771,5130000
27/8/2012,42.249001,42.619999,42.051998,42.341999,39.528336,4699000
28/8/2012,42.262001,42.59,42.262001,42.459999,39.63847,3983000
29/8/2012,42.498001,42.646999,42.174,42.582001,39.752373,4011000
30/8/2012,42.252998,42.395,42.027,42.095001,39.297749,3801000
31/8/2012,42.23,42.362999,41.901001,42.290001,39.479786,4649000
4/9/2012,41.754002,42.599998,41.754002,42.438,39.61795,5091000
5/9/2012,42.394001,42.542,42.035999,42.209999,39.405094,5526000
6/9/2012,42.5,43.259998,42.256001,43.259998,40.385326,9617000
7/9/2012,43.289001,43.679001,43.106998,43.619999,40.721401,6135000
10/9/2012,43.661999,44.119999,43.632999,43.749001,40.841827,7534000
11/9/2012,43.799999,44.59,43.75,44.286999,41.344074,7158000
12/9/2012,44.598999,44.833,44.375,44.640999,41.674541,6168000
13/9/2012,44.639999,45.659,44.591999,45.526001,42.500748,8119000
14/9/2012,45.506001,45.666,45.200001,45.417999,42.399929,6875000
17/9/2012,45.431999,45.630001,45.25,45.349998,42.336441,5157000
18/9/2012,45.299999,45.499001,45.074001,45.298,42.287891,4771000
19/9/2012,45.285999,45.540001,45.169998,45.188999,42.186134,5011000
20/9/2012,44.752998,45.931999,44.724998,45.417999,42.399929,11339000
